Status,Standard_Family,Standard,Standard_Version,Effective_Date,Inactive_Date
Inactive,CIP,CIP-005,CIP-005-2,Standard CIP-008-2,5/6/2009
Inactive,CIP,CIP-005,CIP-005-2,30-09-2009, 
Inactive,CIP,CIP-005,CIP-005-2a,,1/2/2011
Inactive,CIP,CIP-005,CIP-005-2a,Standard CIP-008-2,2/16/2010
Inactive,CIP,CIP-005,CIP-005-2a,2/2/2011, 
Inactive,CIP,CIP-005,CIP-005-3,1/10/2010,1/2/2011
Inactive,CIP,CIP-005,CIP-005-3,Standard CIP-008-3,12/16/2009
Inactive,CIP,CIP-005,CIP-005-3,31-03-2010, 
Inactive,CIP,CIP-005,CIP-005-3a,2/2/2011,30-06-2016
Inactive,CIP,CIP-005,CIP-005-3a,Standard CIP-008-3,2/16/2010
Inactive,CIP,CIP-005,CIP-005-3a,2/2/2011,21-01-2014
Inactive,CIP,CIP-005,CIP-005-3a,2/2/2011, 
Inactive,CIP,CIP-005,CIP-005-4a,1/10/2014,3/2/2014
Inactive,CIP,CIP-005,CIP-005-4a,Standard CIP-008-4,1/24/2011
Inactive,CIP,CIP-005,CIP-005-4a,1/10/2014,21-01-2014
Inactive,CIP,CIP-005,CIP-005-4a,25-06-2012, 
Subject to Enforcement,CIP,CIP-005,CIP-005-5,1/7/2016,30-06-2020
Subject to Future Enforcement,CIP,CIP-005,CIP-005-6,1/7/2020, 
Inactive,CIP,CIP-006,CIP-006-1,1/7/2008,31-03-2010
Inactive,CIP,CIP-006,CIP-006-1a,,22-12-2009
Inactive,CIP,CIP-006,CIP-006-1b,,22-12-2009
Inactive,CIP,CIP-006,CIP-006-1c,,20-04-2010
Inactive,CIP,CIP-006,CIP-006-2,1/4/2010,14-07-2010
Inactive,CIP,CIP-006,CIP-006-2,Standard CIP-008-2,5/6/2009
Inactive,CIP,CIP-006,CIP-006-2a,15-07-2010,30-09-2010
Inactive,CIP,CIP-006,CIP-006-2a,Standard CIP-008-2,5/6/2009
Inactive,CIP,CIP-006,CIP-006-2b,,14-07-2010
Inactive,CIP,CIP-006,CIP-006-2b,Standard CIP-008-2,8/5/2009
Inactive,CIP,CIP-006,CIP-006-2c,,30-09-2010
Inactive,CIP,CIP-006,CIP-006-2c,Standard CIP-008-2,2/16/2010
Inactive,CIP,CIP-006,CIP-006-3,,30-09-2010
Inactive,CIP,CIP-006,CIP-006-3,Standard CIP-008-3,12/16/2009
Inactive,CIP,CIP-006,CIP-006-3a,1/10/2010,18-05-2011
Inactive,CIP,CIP-006,CIP-006-3a,Standard CIP-008-3,12/16/2009
Inactive,CIP,CIP-006,CIP-006-3c,19-05-2011,30-06-2016
Inactive,CIP,CIP-006,CIP-006-3c,Standard CIP-008-3,2/16/2010
Inactive,CIP,CIP-006,CIP-006-3d,,21-03-2013
Inactive,CIP,CIP-006,CIP-006-3d,Standard CIP-008-3,2/9/2012
Inactive,CIP,CIP-006,CIP-006-4c,1/10/2014,3/2/2014
Inactive,CIP,CIP-006,CIP-006-4c,Standard CIP-008-4,1/24/2011
Inactive,CIP,CIP-006,CIP-006-4d,,21-03-2013
Inactive,CIP,CIP-006,CIP-006-4d,Standard CIP-008-4,2/9/2012
Inactive,CIP,CIP-006,CIP-006-5,,30-06-2016
Subject to Enforcement,CIP,CIP-006,CIP-006-6,1/7/2016, 
Subject to Enforcement,CIP,CIP-006,CIP-006-6,, 
Inactive,CIP,CIP-007,CIP-007-1,1/7/2008,31-03-2010
Inactive,CIP,CIP-007,CIP-007-1,7/4/2008, 
Inactive,CIP,CIP-007,CIP-007-2,,31-03-2010
Inactive,CIP,CIP-007,CIP-007-2,30-09-2009, 
Inactive,CIP,CIP-007,CIP-007-2a,1/4/2010,30-09-2010
Inactive,CIP,CIP-007,CIP-007-2a,18-03-2010, 
Pending Regulatory Filing,CIP,CIP-007,CIP-007-3,, 
Inactive,CIP,CIP-007,CIP-007-3a,1/10/2010,30-06-2016
Inactive,CIP,CIP-007,CIP-007-3a,1/10/2010,21-01-2014
Inactive,CIP,CIP-007,CIP-007-3a,31-03-2010, 
Inactive,CIP,CIP-007,CIP-007-3b,,30-06-2016
Inactive,CIP,CIP-007,CIP-007-3b,, 
Inactive,CIP,CIP-007,CIP-007-4a,1/10/2014,3/2/2014
Inactive,CIP,CIP-007,CIP-007-4a,1/10/2014,21-01-2014
Inactive,CIP,CIP-007,CIP-007-4a,25-06-2012, 
Inactive,CIP,CIP-007,CIP-007-4b,,3/2/2014
Inactive,CIP,CIP-007,CIP-007-4b,, 
Inactive,CIP,CIP-007,CIP-007-5,,30-06-2016
Inactive,CIP,CIP-007,CIP-007-5,3/2/2014, 
Subject to Enforcement,CIP,CIP-007,CIP-007-6,1/7/2016, 
Subject to Enforcement,CIP,CIP-007,CIP-007-6,31-03-2016, 
Subject to Enforcement,CIP,CIP-007,CIP-007-6,, 
Inactive,CIP,CIP-008,CIP-008-1,1/7/2008,31-03-2010
Inactive,CIP,CIP-008,CIP-008-2,1/4/2010,30-09-2010
Inactive,CIP,CIP-008,CIP-008-3,1/10/2010,30-06-2016
Inactive,CIP,CIP-008,CIP-008-4,1/10/2014,3/2/2014
Subject to Enforcement,CIP,CIP-008,CIP-008-5,1/7/2016,31-12-2020
Subject to Enforcement,CIP,CIP-008,CIP-008-5,,31-12-2020
Subject to Enforcement,CIP,CIP-008,CIP-008-5,3/2/2014, 
Subject to Future Enforcement,CIP,CIP-008,CIP-008-6,1/1/2021, 
Subject to Future Enforcement,CIP,CIP-008,CIP-008-6,20-06-2019, 
Inactive,CIP,CIP-009,CIP-009-1,1/7/2008,31-03-2010
Inactive,CIP,CIP-009,CIP-009-2,1/4/2010,30-09-2010
Inactive,CIP,CIP-009,CIP-009-3,1/10/2010,30-06-2016
Inactive,CIP,CIP-009,CIP-009-4,1/10/2014,3/2/2014
Inactive,CIP,CIP-009,CIP-009-5,,30-06-2016
Inactive,CIP,CIP-009,CIP-009-5,3/2/2014, 
Subject to Enforcement,CIP,CIP-009,CIP-009-6,1/7/2016, 
Subject to Enforcement,CIP,CIP-009,CIP-009-6,, 
Subject to Enforcement,CIP,CIP-009,CIP-009-6,31-03-2016, 
Inactive,CIP,CIP-010,CIP-010-1,,30-06-2016
Inactive,CIP,CIP-010,CIP-010-1,3/2/2014, 
Subject to Enforcement,CIP,CIP-010,CIP-010-2,1/7/2016,30-06-2020
Subject to Enforcement,CIP,CIP-010,CIP-010-2,31-03-2016, 
Subject to Enforcement,CIP,CIP-010,CIP-010-2,,30-06-2020
Subject to Future Enforcement,CIP,CIP-010,CIP-010-3,1/7/2020, 
Subject to Future Enforcement,CIP,CIP-010,CIP-010-3,26-12-2018, 
Inactive,CIP,CIP-011,CIP-011-1,,30-06-2016
Subject to Enforcement,CIP,CIP-011,CIP-011-2,1/7/2016, 
Filed and Pending Regulatory Approval,CIP,CIP-012,CIP-012-1,, 
Subject to Future Enforcement,CIP,CIP-013,CIP-013-1,1/7/2020, 
Subject to Future Enforcement,CIP,CIP-013,CIP-013-1,26-12-2018, 
Inactive,CIP,CIP-014,CIP-014-1,1/10/2015,1/10/2015
Subject to Enforcement,CIP,CIP-014,CIP-014-2,2/10/2015, 
